,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-11EMC-0126-SM-5EGKV,-0.950732921682231,0.707835581683895,0.326485181749657,0.419789262661155,0.442980983085835,-0.551189770429385,1.2457891204931,0.564483275164732,1.22015096461504,7.01843566736862,-6.0246675524379
GTEX-11EQ9-0226-SM-5A5JX,-0.84555159732909,0.607644858637891,-0.341093381532398,-0.0759298968893595,-1.14905925693853,0.960954319203061,-0.924119387582012,0.184977569695607,-0.263379980607211,-2.53267985271137,2.93844292137299
GTEX-11GSP-0726-SM-5986L,0.123109657905578,-0.495954533777663,0.978928682890036,0.584364216776283,-0.498538601535143,-0.0405670314010935,-0.0882496049541869,0.246089742310575,0.00874162418028144,6.56020137762359,-5.6523899977355
GTEX-11I78-0126-SM-5HL6F,0.263938478749294,0.800794735543247,-0.606013706564207,-1.05396885968231,-1.45461347320973,-0.0813121233234257,-0.612842556227697,0.557811104548268,0.877608418806082,5.68133952518046,-6.20787841837247
GTEX-11LCK-0426-SM-5A5M8,-1.07803003004393,0.75307067031906,-0.379166129739976,-0.113639459320452,0.0263645735122209,0.957524446199973,0.676942577644779,0.087397045647301,0.493842331039764,-2.60996666661287,2.94378900714553
GTEX-11NSD-0326-SM-5A5LS,1.14010776610751,0.592494476022169,-0.422093827690017,0.525696661790568,-1.21079718853433,0.915979510887021,0.506505561372501,0.127571653711006,0.342879403973612,-2.30401578865195,2.73613136119647
GTEX-11NUK-0826-SM-5HL4U,0.34787127028991,-0.0708033812833112,-0.100574983611063,0.934450687221206,-0.213401693468441,0.480005244178507,0.602814447285422,0.431448171738385,0.606547223948228,-3.23940866917799,3.05342057124134
GTEX-11NV4-1126-SM-5HL6J,-0.354802457483369,-0.588546485341322,0.746280034126763,1.36492641687523,-0.432661947879407,0.874220547345059,-0.0493935508249206,0.940875562353152,-0.0792358485190959,-2.62964046736123,2.8048648335788
GTEX-11O72-1326-SM-5BC5A,0.0821514723257706,-0.874504628476052,0.704584943562937,0.745089071923615,-0.414986056905067,1.25847754584318,-0.549357292698516,0.680271275369971,-0.367975054343131,-2.35107965599305,3.20650080573667
GTEX-11OF3-1126-SM-5986C,-0.905675928792262,-0.75979607131126,0.841846155048957,0.903059861198458,-1.63694306531363,-0.126553029958073,-0.891800865240112,0.422835590010568,0.597416418572469,-2.43993676781006,2.60562081229047
GTEX-11P7K-0326-SM-59871,-0.279658702580269,0.727424223306479,-0.648117527355708,0.173083731881281,-1.60396672145231,-0.439298528956222,0.334652960553479,0.199381897630065,0.422957337468379,-2.5951772385194,2.95000187036113
GTEX-11P81-0226-SM-5HL5M,0.868854671704726,0.488975931684799,-0.124339055146009,-0.911342458651104,3.86761685872777,0.463207290106069,1.33103410958132,0.501941831691161,0.516877298770348,6.86298158839178,-5.84122958421223
GTEX-11PRG-0926-SM-5EGI8,-0.563603146407601,-0.842656725721402,-0.0258665097506568,-0.231008359863556,2.27997102399893,1.21695969918066,-0.944587556243678,-0.136911106631469,0.715216664567539,-3.26538897443025,2.58791616593994
GTEX-11TT1-1626-SM-5EQL7,-0.804151326762887,0.751638120034648,-0.351110608350743,-0.27784274130672,-1.07129872590765,-0.715501351840775,-0.342681678610896,0.213282491107331,0.138624890215401,-2.27468255079934,2.72858342740473
GTEX-11TUW-0526-SM-5LU9A,-0.219238807029436,-0.487120570891851,0.445529011319783,-0.189738799775352,-1.0249035378814,1.05105151672791,1.02365693204111,-0.212915539771773,-0.19236516595264,-4.39547422533605,3.0481222878159
GTEX-11UD2-0726-SM-5EQ69,1.48667851986602,-0.311407972078775,0.592954019974926,0.603420060771007,-1.63548311711602,-0.412014663467949,1.09961409473987,1.02301383359179,-0.607207424358505,-2.54978365908426,3.02412994975139
GTEX-11WQC-0626-SM-5EQMF,-0.835638502776616,-0.937805371525613,0.492143229736944,0.117567502983917,0.646533829279943,-0.838462952627713,-1.45934097277975,0.0667125947630181,1.44672811660951,-2.1053049629032,3.11408265756606
GTEX-11WQK-1226-SM-5GU5Z,-0.697183822721075,-0.104485707291881,0.778168704914015,-0.0547570948665776,-2.18502437453166,-0.587932999383574,0.436374827369041,0.223715181260955,-0.469003089783564,-2.90328144283875,3.20782584764
GTEX-11ZTS-1226-SM-5EQMQ,-0.866947158856711,-0.215853173679222,0.577231004969298,1.27275139875447,-0.461704118279265,-0.691820905471775,1.25015004446785,0.223055447074792,0.088866146820096,7.63750454178749,-6.11000500967556
GTEX-11ZTT-0626-SM-5EQLM,1.71193256305695,0.465302992029878,-0.42978535288723,0.45264621706438,3.05860921156825,-0.0491299257403274,0.364138498397684,-0.056466487973117,-0.457161685801063,6.92291537634162,-6.03339993969815
GTEX-11ZUS-0126-SM-5EQM5,1.13484868239695,-0.687039482958823,-0.20674187171795,0.40212910256538,-1.16341327768641,-0.554927911813314,1.19640811007528,0.637377921990366,-0.157860849614462,-1.56886139981642,3.09666667593771
GTEX-11ZVC-0226-SM-731E8,0.379505280936169,0.427416630559509,0.237857672513102,0.809093111189099,-1.10356157320534,1.00867683472208,0.659286149294862,-1.30917057997369,0.311398764084232,7.45696047530768,-6.39145340042187
GTEX-1211K-0826-SM-5FQUP,0.299852656859396,0.611455585773763,-0.53153550376065,0.102937854290725,-0.665455190848758,-0.256773478767557,0.203214074732101,0.854766292436842,-1.03141306103419,5.95717238403463,-5.84460843703473
GTEX-1212Z-1026-SM-5EGJ8,-0.137898021456602,-0.658920406329943,0.585692409808298,0.288289558340249,2.10923657940248,0.223196932147302,-0.842916171479972,0.267666747670071,0.961772560592899,-2.22131441913201,3.03259726752156
